Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
4,False,2,27,-20,157,2.02263
4,False,2,28,-20,154,2.01798
4,False,2,29,-20,167,2.02004
4,False,2,30,-20,172,2.00776
4,True,2,1,40,98,2.00965
4,True,2,2,40,105,2.02887
4,True,2,3,40,101,2.00427
4,True,2,4,-40,106,2.02527
4,True,2,5,-30,109,2.01503
4,True,2,6,-20,128,2.00849
4,True,2,7,-20,133,2.00496
4,True,2,8,-20,134,2.00148
4,True,2,9,-20,139,2.00359
4,True,2,10,-20,129,2.00939
4,True,2,11,-20,131,2.01323
4,True,2,12,-20,137,2.0067
4,True,2,13,-20,134,2.00878
4,True,2,14,70,135,2.01663
4,True,2,15,70,150,2.0094
4,True,2,16,70,148,2.01074
4,True,2,17,70,154,2.02889
4,True,2,18,70,144,2.0094
4,True,2,19,70,168,2.00617
4,True,2,20,70,179,2.00705
4,False,1,1,40,49,1.01148
4,False,1,2,40,48,1.00495
4,False,1,3,-40,49,1.00288
4,False,1,4,-40,52,1.00677
4,False,1,5,-30,65,1.00262
4,False,1,6,-20,68,1.00759
4,False,1,7,-20,71,1.00584
4,False,1,8,-20,73,1.0102
4,False,1,9,-20,66,1.00536
4,False,1,10,-20,73,1.01243
4,False,1,11,-20,67,1.01451
4,False,1,12,-20,71,1.01497
4,False,1,13,-20,62,1.01311
4,False,1,14,70,70,1.0051
4,False,1,15,70,80,1.00709
4,False,1,16,70,81,1.01196
4,False,1,17,70,76,1.01265
4,False,1,18,70,83,1.01365
4,False,1,19,70,79,1.01586
0,True,1,1,0,56,1.0026
0,True,1,2,0,58,1.00438
0,True,1,3,0,57,1.00675
0,True,1,4,0,55,1.02304
0,True,1,5,-90,59,1.01161
0,True,1,6,-90,57,1.01083
0,True,1,7,-90,59,1.0176
0,True,1,8,-90,64,1.0125
0,True,1,9,-90,62,1.00692
0,True,1,10,-90,48,1.00878
0,True,1,11,-90,56,1.01399
0,True,1,12,-90,64,1.00618
0,True,1,13,-90,57,1.00683
0,True,1,14,-80,56,1.02393
0,True,1,15,-80,61,1.01827
0,True,1,16,-80,61,1.01988
0,True,1,17,-80,63,1.02575
0,True,1,18,-80,52,1.00739
0,True,1,19,-80,64,1.01164
0,True,1,20,-90,76,1.01499
0,True,1,21,-90,70,1.0103
0,True,1,22,-90,71,1.01022
0,True,1,23,-90,72,1.02184
0,True,1,24,-90,59,1.02372
0,True,1,25,-90,61,1.02346
0,True,1,26,-90,62,1.01354
0,True,1,27,-140,72,1.01261
0,True,1,28,-140,48,1.03116
0,True,1,29,-140,59,1.02461
0,True,1,30,-140,66,1.02222
0,True,1,31,-140,58,1.03994
0,True,1,32,-140,74,1.01253
0,True,1,33,-140,87,1.02467
0,False,2,1,0,116,2.01672
0,False,2,2,0,104,2.00766
0,False,2,3,0,115,2.00519
0,False,2,4,-90,113,2.01108
0,False,2,5,-90,119,2.01747
0,False,2,6,-90,114,2.01006
0,False,2,7,-90,126,2.00985
0,False,2,8,-90,124,2.01318
0,False,2,9,-90,106,2.01749
0,False,2,10,-90,112,2.01723
0,False,2,11,-90,121,2.00224
0,False,2,12,-90,111,2.00388
0,False,2,13,-90,114,2.00398
0,False,2,14,-80,128,2.01672
0,False,2,15,-80,120,2.0229
0,False,2,16,-80,118,2.01158
0,False,2,17,-80,109,2.01554
0,False,2,18,-80,125,2.01417
0,False,2,19,-90,119,2.00887
0,False,2,20,-90,139,2.02013
0,False,2,21,-90,140,2.01038
0,False,2,22,-90,126,2.01862
