Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
4,MCTS,5,True,MCTS,2,1,0,0,8,2074,40.1021,747,14.1007
4,MCTS,5,True,MCTS,2,0,0,1,19,4939,95.2537,1998,38.3221
4,MCTS,5,True,MCTS,3,1,0,0,38,22580,190.926,13561,112.555
4,MCTS,5,True,MCTS,3,1,0,0,46,12281,230.949,7306,136.246
4,MCTS,5,True,MCTS,3,0,0,1,20,4826,100.361,2887,60.394
4,MCTS,5,True,MCTS,3,1,0,0,18,4752,90.2438,2675,51.2919
4,MCTS,5,True,MCTS,3,1,0,0,5,1158,25.0422,562,12.088
4,MCTS,5,True,MCTS,4,0,0,1,17,4417,85.2745,3555,68.2898
4,MCTS,5,True,MCTS,4,0,0,1,54,14675,271.456,11800,217.599
4,MCTS,5,True,MCTS,4,1,0,0,59,23915,296.766,19327,234.882
4,MCTS,5,True,MCTS,4,0,0,1,28,8164,140.583,6557,112.667
4,MCTS,5,True,MCTS,4,0,0,1,46,17604,231.423,14094,185.249
